v_rise,v_fall,Radius,Masse,Ladung
2.008032e-04,2.119542e-05,4.043360e-07,2.453294e-16,3.274798e-19
8.460237e-05,2.158895e-05,4.084350e-07,2.528664e-16,1.585169e-19
8.680556e-05,1.983340e-05,3.898498e-07,2.198944e-16,1.506814e-19
9.380863e-05,2.471577e-05,4.397702e-07,3.156455e-16,
8.912656e-05,2.041650e-05,3.961099e-07,2.306585e-16,1.577248e-19
1.968504e-04,1.975504e-05,3.890016e-07,2.184622e-16,3.052773e-19
1.976285e-04,2.044154e-05,3.963768e-07,2.311250e-16,3.142361e-19
9.328358e-05,1.842978e-05,3.743960e-07,1.947672e-16,1.504623e-19
1.256281e-04,1.708817e-05,3.606064e-07,1.740294e-16,1.849207e-19
3.906250e-04,1.692620e-05,3.587091e-07,1.712970e-16,
1.121076e-04,1.233350e-05,3.005856e-07,1.007921e-16,1.293866e-19
1.295337e-04,1.289324e-05,3.081840e-07,1.086307e-16,1.526748e-19
2.262443e-04,1.316136e-05,3.117660e-07,1.124627e-16,
1.262626e-04,1.151013e-05,2.890931e-07,8.966761e-17,1.365538e-19
1.210654e-04,1.575299e-05,3.446900e-07,1.519877e-16,1.679480e-19
2.262443e-04,1.810938e-05,3.719177e-07,1.909251e-16,3.311563e-19
4.504505e-04,1.212709e-05,2.973727e-07,9.759456e-17,4.785288e-19
4.504505e-04,1.077818e-05,2.781857e-07,7.989634e-17,
2.840909e-04,1.065190e-05,2.763305e-07,7.830845e-17,2.785348e-19
5.617978e-04,1.147842e-05,2.882845e-07,8.891728e-17,
1.179245e-04,1.116570e-05,2.839895e-07,8.500205e-17,
2.427184e-04,1.403312e-05,3.229728e-07,1.250317e-16,2.925452e-19
1.256281e-04,1.282380e-05,3.070609e-07,1.074474e-16,1.483516e-19
3.968254e-04,1.304461e-05,3.100197e-07,1.105835e-16,4.443440e-19
2.487562e-04,1.446759e-05,3.285233e-07,1.315894e-16,3.061708e-19
2.392344e-04,1.032205e-05,2.716029e-07,7.435761e-17,
2.617801e-04,1.047340e-05,2.738606e-07,7.622739e-17,
3.048780e-04,3.628447e-05,5.422923e-07,5.918650e-16,
3.958828e-05,3.357958e-05,5.201635e-07,5.223262e-16,1.455462e-19
1.043841e-04,1.474491e-05,3.314568e-07,1.351460e-16,1.396345e-19
5.219207e-05,2.885170e-05,4.792391e-07,4.084877e-16,1.467375e-19
5.399568e-05,3.061849e-05,4.948966e-07,4.498479e-16,1.589787e-19
5.820722e-05,2.669514e-05,4.594671e-07,3.599860e-16,1.464155e-19
5.341880e-05,2.977963e-05,4.875201e-07,4.300310e-16,1.536419e-19
5.760369e-05,2.791736e-05,4.707661e-07,3.872024e-16,1.516878e-19
5.807201e-05,3.013864e-05,4.906894e-07,4.384726e-16,1.641171e-19
5.319149e-04,1.894657e-05,3.813524e-07,2.058267e-16,7.666075e-19
3.546099e-04,1.898254e-05,3.817511e-07,2.064730e-16,5.205551e-19
3.311258e-04,1.653986e-05,3.537606e-07,1.643049e-16,4.424255e-19
4.854369e-04,1.776830e-05,3.680753e-07,1.850684e-16,6.714152e-19
3.496503e-04,1.466706e-05,3.308851e-07,1.344479e-16,
2.074689e-04,1.491202e-05,3.339561e-07,1.382262e-16,
2.100840e-04,1.662234e-05,3.547378e-07,1.656703e-16,2.894515e-19
1.035197e-04,1.767409e-05,3.669951e-07,1.834439e-16,1.611410e-19
3.012048e-04,7.821054e-06,2.315190e-07,4.605558e-17,
2.136752e-04,7.956715e-06,2.338342e-07,4.745109e-17,1.690280e-19
6.024096e-04,8.060616e-06,2.355943e-07,4.853071e-17,4.700315e-19
,,,,9.312909e-18
,,,,
,,,,
